id_expose,url,title,address,region,contact_person,telephone,mobile,fax,price_purchase,estimated_monthly_rate,rooms,living_area_m2,furnishing,flat_type,floor,floor_total,bedrooms,commission_buyer_rate,maintenance_cost,construction_year,object_state,heating_type,energy_efficiency_class,location
,https://www.immobilienscout24.de/expose/121148917#/,++NEU renovierte 4 ZKB Wohnung++2 Balkone++offener Grundriss++Bad mit Tageslicht," Hauffstr. 1,","68259 Mannheim, Feudenheim",,[],['0151 20721196'],[], 372.900 € ,, 4 ," 85,15 m² ","['Balkon/ Terrasse', 'Keller']", Etagenwohnung ,1,2, 2 ,"3,48%", 220 € ,1958, Modernisiert , Öl-Heizung ,,"ruhige Lage in Mannheim-Feudenheim
SB Anschluss 400m fußläufig entfernt
neues Bundesgartenschaugelände 2023 ist 600m entfernt
www.buga23.de"
,https://www.immobilienscout24.de/expose/121135053#/,Grün und gemeinsam leben am BUGA-Park in Mannheim (Baugruppenprojekt)," Anna-Sammet-Straße (Nähe) 0,","68309 Mannheim, Käfertal",,[],[],[], 645.000 € ,, 5 , 140 m² ,"['Personenaufzug', 'Garten/ -mitbenutzung', 'Gäste-WC', 'Keller', 'Stufenloser Zugang', 'Provisionsfrei']", Etagenwohnung ,2,4,,Nein,,2022, Erstbezug , Fußbodenheizung ,,"verkehrsberuhigte Lage, Blick direkt auf den Bundesgartenschaupark Spinelli, Straßenbahn und Bus in 10 min Fußweg erreichbar, Fahrradschnellweg MA-HD in unmittelbarer Nähe"
,https://www.immobilienscout24.de/expose/121127418#/,Selbstnutzer aufgepasst! 3 ZKB Wohnung in Käfertal,,"68309 Mannheim, Käfertal",,[],[],['0621 1270540'], 265.000 € ,, 3 , 82 m² ,"['Balkon/ Terrasse', 'Garten/ -mitbenutzung', 'Keller']", Etagenwohnung ,2,5,,3.48% inklusive gesetzlicher MwSt., 275 € ,1991, Gepflegt ,,,"Die Quadrate- und Universitätsstadt Mannheim ist mit etwa 310.000 Einwohnern die drittgrößte Stadt des Landes Baden-Württemberg. Die ehemalige Residenzstadt der historischen Kurpfalz bildet das wirtschaftliche und kulturelle Zentrum der Metropolregion Rhein-Neckar.  Die umliegenden Städte Heidelberg, Viernheim und Ludwigshafen sind nur wenige Minuten entfernt.
Die Wohnung befindet sich in Mannheim Käfertal. Käfertal ist ein Stadtteil im Nordosten Mannheims. Angrenzende Stadtbezirke sind Vogelstang, Freudenheim, Wohlgelegen und Waldhof. Im Nordosten liegt die Stadt Viernheim. Einkaufsmöglichkeiten, Gesundheitseinrichtungen, sowie Grün- und Erholflächen befinden sich in der Nähe der Wohnung. Das Anwesen verfügt über eine ausgezeichnete Verkehrsinfrastruktur. Das Viernheimer Kreuz mit Anschluss zur A6 ist nur wenige Minuten entfernt. In ca. 10 Autominuten ist die Mannheimer Innenstadt erreichbar. Öffentliche Verkehrsmittel befinden sich in unmittelbarer Umgebung.
r. "
,https://www.immobilienscout24.de/expose/121086043#/,"Stilvolle, gepflegte 3-Zimmer-Wohnung mit Balkon und Einbauküche in Mannheim"," Am Wallstadter Bahnhof 14 A,","68259 Mannheim, Wallstadt",,['0179 9242519'],[],[], 441.000 € ,, 3 , 86 m² ,"['Personenaufzug', 'Balkon/ Terrasse', 'Einbauküche', 'Keller', 'Stufenloser Zugang', 'Provisionsfrei']", Sonstige ,1,3,,Nein, 225 € ,2008, Gepflegt , Zentralheizung ,,
,https://www.immobilienscout24.de/expose/121084068#/,Familien-Wohnung mit Terrasse,,"68163 Mannheim, Neuostheim / Neuhermsheim",,[],[],[], 430.000 € ,, 4 , 100 m² ,"['Personenaufzug', 'Balkon/ Terrasse']", Erdgeschosswohnung ,0,0, 3 ,Provisionspflichtig, 262 € ,2009, Neuwertig ,,,"Neuhermsheim ist ein Wohnstadtteil für Familien mit nachbarschaftlicher Atmosphäre. 

Sehr kinderfreundliche Anliegerstraße mit großem Kinderspielplatz in unmittelbarer Nähe. 

Die Nähe zur Natur (Naherholungsgebiete, Kleingartenanlage), die landwirtschaftlich genutzten Flächen und die ruhige Lage machen den Stadtteil aus. Von der Wohnung zur S-Bahn sind es keine 300 m. "
,https://www.immobilienscout24.de/expose/121057594#/,Vermietete 2-Zimmer-Wohnung als Kapitalanlage in Mannheim,,"68165 Mannheim, Schwetzingerstadt / Oststadt",,['0621 12992504'],['0151 57116729'],[], 165.000 € ,, 2 ," 36,54 m² ","['Personenaufzug', 'Vermietet']", Etagenwohnung ,2,6, 1 ,"4,64% des Kaufpreises inkl. MwSt.", 167 € ,1987, Gepflegt , Zentralheizung , C ,"Eine Miniatur ist Mannheim heute keineswegs mehr, eher eine gelungene Mischung aus Einkaufsparadies, Industrie- und Dienstleistungsstandort, flankiert von vielfältigen, weitreichenden Naherholungsgebieten. Das alles im Herzen der Kurpfalz oder die modernere Bezeichnung des Rhein-Neckar-Dreiecks. Dementsprechend nah liegen Arbeiten, Einkaufen und Freizeit beieinander. In der Innenstadt, den Quadraten, ist alles schnell zu erreichen, egal ob Kulturangebote, Bürgerdienste, Sportcenter, Bildungseinrichtungen, natürlich auch die mannigfaltigen Einzelhandelsgeschäfte, ob große Kaufhäuser, exklusive Boutiquen oder internationale Delikatessenläden. Beste Anbindungen an die wichtigsten europäischen Verkehrswege zeichnen die Infrastruktur der Stadt aus. Die Nähe zu Frankfurt ermöglicht Flugverbindungen in alle wichtigen Wirtschaftsräume der Erde. Der Mannheimer Hauptbahnhof ist einer der bedeutendsten Knotenpunkte im europäischen Schnellbahnnetz. Im Halb-Stundentakt sind wichtige Wirtschaftszentren mit ICE, IC oder EC erreichbar. Insgesamt fünf Autobahnen laufen über Mannheim, unter anderem die BAB 5 und 6."
,https://www.immobilienscout24.de/expose/121048465#/,"Exklusive Maisonettewohnung mit Sonnenterrasse, Sonnenbalkon und Garten***KfW 55***",,"68259 Mannheim / Feudenheim, Mannheim",,['0621 76215062'],['0171 4112571'],['0621 76215063'], 731.000 € ,, 4 ," 137,27 m² ","['Personenaufzug', 'Balkon/ Terrasse', 'Garten/ -mitbenutzung', 'Gäste-WC', 'Keller']", Maisonette ,0,0, 3 ,"Käuferprovision 4,64% ( inkl. 16% Mwst.) vom Kaufpreis",,,, Fußbodenheizung ,,"Das Sechsparteienhaus wird im beliebten Stadtteil Feudenheim in ruhiger und doch zentraler Lage in 2. Reihe in einem Gartengrundstück gebaut. 

Fußläufig erreichbar gibt es ein vielseitiges Einkaufs- und Dienstleistungsangebot. Zahlreiche Restaurants und Eiscafés, Ärzte aus allen Bereichen, Banken, Apotheken und eine Postfiliale ergänzen das Angebot.

In nachbarschaftlicher Atmosphäre wohnen viele junge Familien. Für die Kinder gibt es sieben Kindertagesstätten, eine Grundschule, eine Realschule und ein Gymnasium.
Der Stadtteil am Neckar bietet viele Naherholungsmöglichkeiten und zahlreiche Vereine.

Die Verbindungen zu den Bundesstraßen und den Autobahnen in alle Richtungen sind komfortabel erreichbar. 
Der Feudenheimer Ortskern wird von verschiedenen Buslinien und Straßenbahnen angefahren."
,https://www.immobilienscout24.de/expose/121012721#/,Einziehen und wohlfühlen - 2 ZKB mit Balkon nähe Vogelstangsee!,,"68309 Mannheim, Vogelstang",,['0621 31998802'],['0176 31150664'],['0621 31998803'], 125.000 € ,, 2 ," 46,5 m² ","['Balkon/ Terrasse', 'Einbauküche', 'Keller']", Etagenwohnung ,1,2,,"4,76 % inkl. ges. MwSt.", 276 € ,1968, Modernisiert , Zentralheizung , F ,"Diese interessante Wohnung liegt im beliebten Stadtteil Vogelstang. Der Ortsteil liegt im östlichen Teil Mannheims. Im Westen grenzt der Stadtteil Käfertal, im Osten der Stadtteil Wallstadt an.

Der Vogelstangsee ist in wenigen Minuten fußläufig erreichbar und lädt zum spazieren, baden, oder einfach zum verweilen ein

Vor Ort ist jeweils eine Grundschule, Werkrealschule, Gymnasium und ein Hallenbad.
Geschäfte für den täglichen Bedarf, Ärzte und Apotheke finden Sie im nahegelegenen Vogelstang-Center.

Durch die hervorragende Anbindung an den ÖPNV Linie 7 (fußläufig erreichbar)  lassen sich sowohl die Mannheimer Innenstadt, als auch die angrenzenden Städte in Kürze erreichen. Die Nähe zur B 38 und dem Autobahnanschluss Viernheimer Kreuz bieten Ihnen auch mit dem Auto eine gute Verkehrsanbindungen."
,https://www.immobilienscout24.de/expose/121001762#/,*Provisionsfrei* 2-ZW sofort frei inkl. TG-Stellplatz,,"68309 Mannheim, Käfertal",,['0632 39493785'],['0152 53667231'],[], 194.020 € ,, 2 ," 63,74 m² ","['Balkon/ Terrasse', 'Provisionsfrei']", Etagenwohnung ,2,0,,Nein, 347 € ,1994,, Fernwärme , C ,"Mannheim-Käfertal, Ortsteil Rott, ein modernes Neubaugebiet, liegt ideal für Stadtmenschen, die am Rand der quirligen City leben, aber auch mit öffentlichen Verkehrsmitteln schnell im Zentrum sein möchten. Beste Verkehrsanbindungen, alle Versorgungseinrichtungen in der Nähe. Keine Käuferprovision. Grundstück im Eigentum - keine Erbpacht!"
,https://www.immobilienscout24.de/expose/120956240#/,"Stilvolle, sanierte 3,5-Zimmer-Penthouse-Wohnung mit Dachterrasse und Einbauküche in Mannheim"," Kußmaulstraße 9,","68167 Mannheim, Neckarstadt-Ost / Wohlgelegen",,['0179 1051927'],[],[], 450.000 € ,," 3,5 ", 107 m² ,"['Personenaufzug', 'Balkon/ Terrasse', 'Einbauküche', 'Keller', 'Provisionsfrei']", Penthouse ,5,5,,Nein,,1984, Saniert , Fernwärme ,,"Sie sind mittendrin im Mannheimer Stadtherz und trotzdem ruhig gelegen.
Sie brauchen mit der Bahn lediglich 10 Min in die Stadt oder zum Haupt Bahnhof, die Haltestellen hierzu befinden sich gerade um die Ecke (Lange Rötter Str /  Bibbienastrasse). Den Neckar finden Sie nach einem 5 minütlichem Spaziergang und auch sonst ist alles vorhanden was das Herz begehrt. "
